datedim,ims_id,id_parent,id_path,tree_depth,tree,part_number,serial_number,location_name,original_ip_owner,current_ip_owner,operational_nomenclature,russian_name,english_name,barcode,quantity,width,height,length,diameter,calculated_volume,stwg_ovrrd_vol,children_volume,stwg_ovrrd_chldrn_vol,ovrrd_notes,volume_notes,expire_date,launch,type,hazard,state,status,is_container,is_moveable,system,subsystem,action_date,move_date,fill_status,category_id,category_name
7/12/2022 9:01,447250,456385,/0/215428/215452/215454/215578/456385/447250/,6,Storage Location,SEG48102042-901,M0694,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXM0694J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:24,7/6/2022 15:00,,6,Food
7/12/2022 9:01,448178,456385,/0/215428/215452/215454/215578/456385/448178/,6,Storage Location,SEG48102042-901,M0722,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXM0722J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:24,7/6/2022 15:00,,6,Food
7/12/2022 9:01,448179,456385,/0/215428/215452/215454/215578/456385/448179/,6,Storage Location,SEG48102042-901,M0730,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXM0730J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:24,7/6/2022 15:00,,6,Food
7/12/2022 9:01,448180,456385,/0/215428/215452/215454/215578/456385/448180/,6,Storage Location,SEG48102042-901,M0724,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXM0724J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:24,7/6/2022 15:00,,6,Food
7/12/2022 9:01,456379,456416,/0/215428/215452/215454/215578/456416/456379/,6,Storage Location,SEG48102042-901,D2412,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXD2412J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:18,7/6/2022 14:52,,6,Food
7/12/2022 9:01,456380,456416,/0/215428/215452/215454/215578/456416/456380/,6,Storage Location,SEG48102042-901,D2414,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXD2414J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:18,7/6/2022 14:52,,6,Food
7/12/2022 9:01,456534,456416,/0/215428/215452/215454/215578/456416/456534/,6,Storage Location,SEG48102042-901,M0736,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXM0736J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:18,7/6/2022 14:52,,6,Food
7/12/2022 9:01,456535,456416,/0/215428/215452/215454/215578/456416/456535/,6,Storage Location,SEG48102042-901,Z0838,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXZ0838J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:18,7/6/2022 14:52,,6,Food
7/12/2022 9:01,456536,456416,/0/215428/215452/215454/215578/456416/456536/,6,Storage Location,SEG48102042-901,U6708,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXU6708J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:18,7/6/2022 14:52,,6,Food
7/12/2022 9:01,456551,456416,/0/215428/215452/215454/215578/456416/456551/,6,Storage Location,SEG48102042-901,H0762,PMM1S1_Rack Bay,NASA,NASA,Food BOB,Внешний мешок для хранения пищевых контейнеров,BULK OVERWRAP BAG,FEXH0762J,1,304.8,123.83,377.83,,0.2698,,,,Rectangular Prism, Assume volume = L*W*H,,,Item,,Functional,Stowed,1,1,Food Supply,,7/7/2022 9:18,7/6/2022 14:52,,6,Food
