datedim,ims_id,id_parent,id_path,tree_depth,tree,part_number,serial_number,location_name,original_ip_owner,current_ip_owner,operational_nomenclature,russian_name,english_name,barcode,quantity,width,height,length,diameter,calculated_volume,stwg_ovrrd_vol,children_volume,stwg_ovrrd_chldrn_vol,ovrrd_notes,volume_notes,expire_date,launch,type,hazard,state,status,is_container,is_moveable,system,subsystem,action_date,move_date,fill_status,category_id,category_name
1/1/2022 10:01,364155,265,/0/101/265/364155/,3,Storage Location,11Ф615.8720А55-20,1180,ФГБ1ГА,Russian Space Agency,RSA00,Корпус КТО,Корпус КТО,SOLID WESTE CONTAINER BODY,00077889R,1,,425,,330,0.68773,,,,Cylinder, Assume volume = H*pi(D/2)^2,7/17/2024 0:00,Progress МS-13 (74P),Item,Non-hazardous,Functional,Stowed,1,1,SM Hygiene Sanitary Equipment,АсСУ,10/10/2020 19:22,10/10/2020 19:22,,3,KTO
1/1/2022 10:01,364156,265,/0/101/265/364156/,3,Storage Location,11Ф615.8720А55-20,1181,ФГБ1ГА,Russian Space Agency,RSA00,Корпус КТО,Корпус КТО,SOLID WESTE CONTAINER BODY,00077890R,1,,425,,330,0.68773,,,,Cylinder, Assume volume = H*pi(D/2)^2,7/17/2024 0:00,Progress МS-13 (74P),Item,Non-hazardous,Functional,Stowed,1,1,SM Hygiene Sanitary Equipment,АсСУ,10/10/2020 19:22,10/10/2020 19:22,,3,KTO
1/1/2022 10:01,364157,265,/0/101/265/364157/,3,Storage Location,11Ф615.8720А55-20,1182,ФГБ1ГА,Russian Space Agency,RSA00,Корпус КТО,Корпус КТО,SOLID WESTE CONTAINER BODY,00077891R,1,,425,,330,0.68773,,,,Cylinder, Assume volume = H*pi(D/2)^2,7/17/2024 0:00,Progress МS-13 (74P),Item,Non-hazardous,Functional,Stowed,1,1,SM Hygiene Sanitary Equipment,АсСУ,10/10/2020 19:22,10/10/2020 19:22,,3,KTO
1/1/2022 10:01,364158,265,/0/101/265/364158/,3,Storage Location,11Ф615.8720А55-10,1182,ФГБ1ГА,Russian Space Agency,RSA00,Днище КТО,Днище КТО,SOLID WASTE CONTAINER BOTTOM,00077923R,1,330,121,330,,0.2493,,,,Rectangular Prism, Assume volume = L*W*H,7/17/2024 0:00,Progress МS-13 (74P),Item,Non-hazardous,Functional,Stowed,1,1,SM Hygiene Sanitary Equipment,АсСУ,10/10/2020 19:22,10/10/2020 19:22,,3,KTO
1/1/2022 10:01,364160,265,/0/101/265/364160/,3,Storage Location,11Ф615.8720А55-20,1184,ФГБ1ГА,Russian Space Agency,RSA00,Корпус КТО,Корпус КТО,SOLID WESTE CONTAINER BODY,00077893R,1,,425,,330,0.68773,,,,Cylinder, Assume volume = H*pi(D/2)^2,7/17/2024 0:00,Progress МS-13 (74P),Item,Non-hazardous,Functional,Stowed,1,1,SM Hygiene Sanitary Equipment,АсСУ,10/10/2020 19:22,10/10/2020 19:22,,3,KTO
1/1/2022 10:01,364161,265,/0/101/265/364161/,3,Storage Location,11Ф615.8720А55-20,1185,ФГБ1ГА,Russian Space Agency,RSA00,Корпус КТО,Корпус КТО,SOLID WESTE CONTAINER BODY,00077894R,1,,425,,330,0.68773,,,,Cylinder, Assume volume = H*pi(D/2)^2,7/17/2024 0:00,Progress МS-13 (74P),Item,Non-hazardous,Functional,Stowed,1,1,SM Hygiene Sanitary Equipment,АсСУ,10/10/2020 19:22,10/10/2020 19:22,,3,KTO
1/1/2022 10:01,364162,265,/0/101/265/364162/,3,Storage Location,11Ф615.8720А55-10,1185,ФГБ1ГА,Russian Space Agency,RSA00,Днище КТО,Днище КТО,SOLID WASTE CONTAINER BOTTOM,00077926R,1,330,121,330,,0.2493,,,,Rectangular Prism, Assume volume = L*W*H,7/17/2024 0:00,Progress МS-13 (74P),Item,Non-hazardous,Functional,Stowed,1,1,SM Hygiene Sanitary Equipment,АсСУ,10/10/2020 19:22,10/10/2020 19:22,,3,KTO
1/1/2022 10:01,364163,265,/0/101/265/364163/,3,Storage Location,11Ф615.8720А55-20,1186,ФГБ1ГА,Russian Space Agency,RSA00,Корпус КТО,Корпус КТО,SOLID WESTE CONTAINER BODY,00077895R,1,,425,,330,0.68773,,,,Cylinder, Assume volume = H*pi(D/2)^2,7/17/2024 0:00,Progress МS-13 (74P),Item,Non-hazardous,Functional,Stowed,1,1,SM Hygiene Sanitary Equipment,АсСУ,10/10/2020 19:22,10/10/2020 19:22,,3,KTO
1/1/2022 10:01,364164,265,/0/101/265/364164/,3,Storage Location,11Ф615.8720А55-20,1187,ФГБ1ГА,Russian Space Agency,RSA00,Корпус КТО,Корпус КТО,SOLID WESTE CONTAINER BODY,00077896R,1,,425,,330,0.68773,,,,Cylinder, Assume volume = H*pi(D/2)^2,7/17/2024 0:00,Progress МS-13 (74P),Item,Non-hazardous,Functional,Stowed,1,1,SM Hygiene Sanitary Equipment,АсСУ,10/10/2020 19:22,10/10/2020 19:22,,3,KTO
1/1/2022 10:01,364165,265,/0/101/265/364165/,3,Storage Location,11Ф615.8720А55-20,1188,ФГБ1ГА,Russian Space Agency,RSA00,Корпус КТО,Корпус КТО,SOLID WESTE CONTAINER BODY,00077897R,1,,425,,330,0.68773,,,,Cylinder, Assume volume = H*pi(D/2)^2,7/17/2024 0:00,Progress МS-13 (74P),Item,Non-hazardous,Functional,Stowed,1,1,SM Hygiene Sanitary Equipment,АсСУ,10/10/2020 19:22,10/10/2020 19:22,,3,KTO
1/1/2022 10:01,364166,265,/0/101/265/364166/,3,Storage Location,11Ф615.8720А55-20,1189,ФГБ1ГА,Russian Space Agency,RSA00,Корпус КТО,Корпус КТО,SOLID WESTE CONTAINER BODY,00077898R,1,,425,,330,0.68773,,,,Cylinder, Assume volume = H*pi(D/2)^2,7/17/2024 0:00,Progress МS-13 (74P),Item,Non-hazardous,Functional,Stowed,1,1,SM Hygiene Sanitary Equipment,АсСУ,10/10/2020 19:22,10/10/2020 19:22,,3,KTO
1/1/2022 10:01,364167,265,/0/101/265/364167/,3,Storage Location,11Ф615.8720А55-20,1155,ФГБ1ГА,Russian Space Agency,RSA00,Корпус КТО,Корпус КТО,SOLID WESTE CONTAINER BODY,00077899R,1,,425,,330,0.68773,,,,Cylinder, Assume volume = H*pi(D/2)^2,7/17/2024 0:00,Progress МS-13 (74P),Item,Non-hazardous,Functional,Stowed,1,1,SM Hygiene Sanitary Equipment,АсСУ,10/10/2020 19:22,10/10/2020 19:22,,3,KTO
