datedim,ims_id,id_parent,id_path,tree_depth,tree,part_number,serial_number,location_name,original_ip_owner,current_ip_owner,operational_nomenclature,russian_name,english_name,barcode,quantity,width,height,length,diameter,calculated_volume,stwg_ovrrd_vol,children_volume,stwg_ovrrd_chldrn_vol,ovrrd_notes,volume_notes,expire_date,launch,type,hazard,state,status,is_container,is_moveable,system,subsystem,action_date,move_date,fill_status,category_id,category_name
3/26/2022 9:01,449086,291,/0/101/276/277/291/449086/,5,Storage Location,11Ф615.8720А55-20,594,ФГБ1ПГО_1_105,NASA,NASA,Solid Waste Container - Body,Корпус контейнера твердых отходов,SOLID WASTE CONTAINER - BODY,00151618J,1,,346,,330,0.55989,,,,Cylinder, Assume volume = H*pi(D/2)^2,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,2/25/2022 9:49,2/25/2022 9:49,,3,KTO
3/26/2022 9:01,449087,291,/0/101/276/277/291/449087/,5,Storage Location,11Ф615.8720А55-20,1206,ФГБ1ПГО_1_105,NASA,NASA,Solid Waste Container - Body,Корпус контейнера твердых отходов,SOLID WASTE CONTAINER - BODY,00261401J,1,,346,,330,0.55989,,,,Cylinder, Assume volume = H*pi(D/2)^2,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,2/25/2022 9:49,2/25/2022 9:49,,3,KTO
3/26/2022 9:01,449088,291,/0/101/276/277/291/449088/,5,Storage Location,11Ф615.8720А55-20,1345,ФГБ1ПГО_1_105,NASA,NASA,Solid Waste Container - Body,Корпус контейнера твердых отходов,SOLID WASTE CONTAINER - BODY,00275089J,1,,346,,330,0.55989,,,,Cylinder, Assume volume = H*pi(D/2)^2,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,2/25/2022 9:49,2/25/2022 9:49,,3,KTO
3/26/2022 9:01,449089,291,/0/101/276/277/291/449089/,5,Storage Location,11Ф615.8720А55-20,1343,ФГБ1ПГО_1_105,NASA,NASA,Solid Waste Container - Body,Корпус контейнера твердых отходов,SOLID WASTE CONTAINER - BODY,00275087J,1,,346,,330,0.55989,,,,Cylinder, Assume volume = H*pi(D/2)^2,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,2/25/2022 9:49,2/25/2022 9:49,,3,KTO
3/26/2022 9:01,449090,291,/0/101/276/277/291/449090/,5,Storage Location,11Ф615.8720А55-20,1344,ФГБ1ПГО_1_105,NASA,NASA,Solid Waste Container - Body,Корпус контейнера твердых отходов,SOLID WASTE CONTAINER - BODY,00275088J,1,,346,,330,0.55989,,,,Cylinder, Assume volume = H*pi(D/2)^2,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,2/25/2022 9:49,2/25/2022 9:49,,3,KTO
3/26/2022 9:01,449091,291,/0/101/276/277/291/449091/,5,Storage Location,11Ф615.8720А55-20,1207,ФГБ1ПГО_1_105,NASA,NASA,Solid Waste Container - Body,Корпус контейнера твердых отходов,SOLID WASTE CONTAINER - BODY,00261402J,1,,346,,330,0.55989,,,,Cylinder, Assume volume = H*pi(D/2)^2,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,2/25/2022 9:49,2/25/2022 9:49,,3,KTO
3/26/2022 9:01,449092,291,/0/101/276/277/291/449092/,5,Storage Location,11Ф615.8720А55-20,1346,ФГБ1ПГО_1_105,NASA,NASA,Solid Waste Container - Body,Корпус контейнера твердых отходов,SOLID WASTE CONTAINER - BODY,00275090J,1,,346,,330,0.55989,,,,Cylinder, Assume volume = H*pi(D/2)^2,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,2/25/2022 9:49,2/25/2022 9:49,,3,KTO
3/26/2022 9:01,449093,291,/0/101/276/277/291/449093/,5,Storage Location,11Ф615.8720А55-20,1347,ФГБ1ПГО_1_105,NASA,NASA,Solid Waste Container - Body,Корпус контейнера твердых отходов,SOLID WASTE CONTAINER - BODY,00275091J,1,,346,,330,0.55989,,,,Cylinder, Assume volume = H*pi(D/2)^2,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,2/25/2022 9:49,2/25/2022 9:49,,3,KTO
3/26/2022 9:01,449094,291,/0/101/276/277/291/449094/,5,Storage Location,11Ф615.8720А55-20,1348,ФГБ1ПГО_1_105,NASA,NASA,Solid Waste Container - Body,Корпус контейнера твердых отходов,SOLID WASTE CONTAINER - BODY,00275092J,1,,346,,330,0.55989,,,,Cylinder, Assume volume = H*pi(D/2)^2,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,2/25/2022 9:49,2/25/2022 9:49,,3,KTO
3/26/2022 9:01,449095,291,/0/101/276/277/291/449095/,5,Storage Location,11Ф615.8720А55-20,1349,ФГБ1ПГО_1_105,NASA,NASA,Solid Waste Container - Body,Корпус контейнера твердых отходов,SOLID WASTE CONTAINER - BODY,00275093J,1,,346,,330,0.55989,,,,Cylinder, Assume volume = H*pi(D/2)^2,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,2/25/2022 9:49,2/25/2022 9:49,,3,KTO
3/26/2022 9:01,449096,291,/0/101/276/277/291/449096/,5,Storage Location,11Ф615.8720А55-20,1350,ФГБ1ПГО_1_105,NASA,NASA,Solid Waste Container - Body,Корпус контейнера твердых отходов,SOLID WASTE CONTAINER - BODY,00275094J,1,,346,,330,0.55989,,,,Cylinder, Assume volume = H*pi(D/2)^2,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,2/25/2022 9:49,2/25/2022 9:49,,3,KTO
3/26/2022 9:01,449097,291,/0/101/276/277/291/449097/,5,Storage Location,11Ф615.8720А55-20,1351,ФГБ1ПГО_1_105,NASA,NASA,Solid Waste Container - Body,Корпус контейнера твердых отходов,SOLID WASTE CONTAINER - BODY,00275095J,1,,346,,330,0.55989,,,,Cylinder, Assume volume = H*pi(D/2)^2,,,Item,,Functional,Stowed,1,1,ECLSS,WHC,2/25/2022 9:49,2/25/2022 9:49,,3,KTO
3/26/2022 9:01,224251,169937,/0/101/276/277/292/169937/224251/,6,Storage Location,17КС.240Ю8711А-180,1213,ФГБ1ПГО_1_106,NASA,NASA,EDV Cover,Крышка eмкости для воды (ЕДВ),EDV COVER,00151807J,1,,,80,340,0.13742,,,,Cylinder, Assume volume = L*pi(D/2)^2,,Progress М-29М (61P),Item,,Functional,Stowed,1,1,ECLSS,WHC,3/17/2022 19:00,7/21/2021 9:05,,1,EDV
3/26/2022 9:01,224254,169937,/0/101/276/277/292/169937/224254/,6,Storage Location,17КС.240Ю8711А-180,1216,ФГБ1ПГО_1_106,NASA,NASA,EDV Cover,Крышка eмкости для воды (ЕДВ),EDV COVER,00151812J,1,,,80,340,0.13742,,,,Cylinder, Assume volume = L*pi(D/2)^2,,Progress М-29М (61P),Item,,Functional,Stowed,1,1,ECLSS,WHC,3/17/2022 19:00,7/21/2021 9:05,,1,EDV
3/26/2022 9:01,224255,169937,/0/101/276/277/292/169937/224255/,6,Storage Location,17КС.240Ю8711А-180,1217,ФГБ1ПГО_1_106,NASA,NASA,EDV Cover,Крышка eмкости для воды (ЕДВ),EDV COVER,00151809J,1,,,80,340,0.13742,,,,Cylinder, Assume volume = L*pi(D/2)^2,,Progress М-29М (61P),Item,,Functional,Stowed,1,1,ECLSS,WHC,3/17/2022 19:00,7/21/2021 9:05,,1,EDV
3/26/2022 9:01,229480,169937,/0/101/276/277/292/169937/229480/,6,Storage Location,17КС.240Ю8711А-180,1181,ФГБ1ПГО_1_106,NASA,NASA,EDV Cover,Крышка eмкости для воды (ЕДВ),EDV COVER,00198626J,1,,,80,340,0.13742,,,,Cylinder, Assume volume = L*pi(D/2)^2,,CYG4,Item,,Functional,Stowed,1,1,ECLSS,WHC,3/17/2022 19:00,7/20/2021 20:11,,1,EDV
3/26/2022 9:01,229485,169937,/0/101/276/277/292/169937/229485/,6,Storage Location,17КС.240Ю8711А-180,1179,ФГБ1ПГО_1_106,NASA,NASA,EDV Cover,Крышка eмкости для воды (ЕДВ),EDV COVER,00198627J,1,,,80,340,0.13742,,,,Cylinder, Assume volume = L*pi(D/2)^2,,CYG4,Item,,Functional,Stowed,1,1,ECLSS,WHC,3/17/2022 19:00,7/21/2021 9:05,,1,EDV
3/26/2022 9:01,229486,169937,/0/101/276/277/292/169937/229486/,6,Storage Location,17КС.240Ю8711А-180,1180,ФГБ1ПГО_1_106,NASA,NASA,EDV Cover,Крышка eмкости для воды (ЕДВ),EDV COVER,00198631J,1,,,80,340,0.13742,,,,Cylinder, Assume volume = L*pi(D/2)^2,,CYG4,Item,,Functional,Stowed,1,1,ECLSS,WHC,3/17/2022 19:00,7/21/2021 9:05,,1,EDV
3/26/2022 9:01,237741,169937,/0/101/276/277/292/169937/237741/,6,Storage Location,17КС.240Ю8711А-180,1183,ФГБ1ПГО_1_106,NASA,NASA,EDV Cover,Крышка eмкости для воды (ЕДВ),EDV COVER,00198633J,1,,,80,340,0.13742,,,,Cylinder, Assume volume = L*pi(D/2)^2,,CYG6,Item,,Functional,Stowed,1,1,ECLSS,WHC,3/17/2022 19:00,7/21/2021 9:05,,1,EDV
3/26/2022 9:01,237745,169937,/0/101/276/277/292/169937/237745/,6,Storage Location,17КС.240Ю8711А-180,1187,ФГБ1ПГО_1_106,NASA,NASA,EDV Cover,Крышка eмкости для воды (ЕДВ),EDV COVER,00198625J,1,,,80,340,0.13742,,,,Cylinder, Assume volume = L*pi(D/2)^2,,CYG6,Item,,Functional,Stowed,1,1,ECLSS,WHC,3/17/2022 19:00,7/21/2021 9:05,,1,EDV
3/26/2022 9:01,253214,169937,/0/101/276/277/292/169937/253214/,6,Storage Location,17КС.240Ю8711А-180,1218,ФГБ1ПГО_1_106,NASA,NASA,EDV Cover,Крышка eмкости для воды (ЕДВ),EDV COVER,00216550J,1,,,80,340,0.13742,,,,Cylinder, Assume volume = L*pi(D/2)^2,,CYG5,Item,,Functional,Stowed,1,1,ECLSS,WHC,3/17/2022 19:00,7/20/2021 20:11,,1,EDV
